Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³)
5/7/2020,25.644,84.986,78.4025,18.7125,7.8575,0.516,38.424
5/8/2020,24.942,110.172,57.0975,15.8725,9.8875,0.488,47.796
5/9/2020,36.84,172.65,58.4575,14.6275,10.4725,0.556,51.29
5/10/2020,38.62,231.1925,59.09666667,12.21666667,8.716666667,0.5575,54.1125
5/11/2020,30.27,75.712,69.35,17.3825,7.4025,0.588,45.108
5/12/2020,34.788,66.07,69.1275,19.185,7.5925,0.692,35.01
5/13/2020,40.14,88.226,74.056,44.67,11.6475,0.758,43.244
5/14/2020,51.312,153.634,64.706,28.42,7.0925,0.76,40.906
5/15/2020,51.824,82.298,70.98,20.682,5.8975,0.554,44.516
5/16/2020,40.262,110.544,58.318,33.762,7.7825,0.696,39.326
5/17/2020,52.44,317.5375,56.205,34.195,17.12666667,0.7575,49.465
5/18/2020,47.5875,125.532,52.02,30.304,6.7575,0.718,50.458
5/19/2020,42.105,109.82,47.028,16.594,4.8725,0.564,45.108
5/20/2020,32.38,98.378,45.936,17.845,6.5525,0.514,38.058
5/21/2020,19.3725,55.894,56.555,22.2175,4.96,0.418,38.656
5/22/2020,14.365,55.826,53.4675,17.72,9.0925,0.372,41.822
5/23/2020,27.25,74.272,63.335,17.4,5.93,0.526,32.314
5/24/2020,44.805,107.74,47.9675,12.4,5.1125,0.676,31.63
5/25/2020,49.1875,129.012,42.07333333,14.49666667,4.065,0.672,27.826
5/26/2020,41.225,108.712,19.66333333,14.06666667,4.0025,0.632,31.39
5/27/2020,32.6175,144.04,18.35333333,11.30333333,3.6025,0.444,31.502
5/28/2020,21.14,91.798,9.89,10.61,8.7025,0.386,47.554
5/29/2020,27.1925,77.41,12.13,12.00666667,7.4575,0.446,40.704
5/30/2020,27.41,99.324,25.50333333,18.93666667,7.015,0.442,51.49
5/31/2020,13.4525,48.558,16.45,13.15333333,7.5375,0.375,50.04
6/1/2020,19.1725,84.422,12.55,18.32,10.4675,0.416,42.698
6/2/2020,26.3225,137.578,38.68666667,30.42333333,5.42,0.662,36.432
6/3/2020,78.2325,92.554,28.2825,24.7175,5.035,0.824,39.304
6/4/2020,29.665,91.48,78.68,28.87333333,3.385,0.724,25.72
6/5/2020,19.5125,48.814,45.615,10.865,3.9325,0.578,28.922
6/6/2020,11.29,42.066,60.81,13.6575,2.985,0.684,21.308
6/7/2020,19.5675,67.444,59.68,15.4475,2.855,0.716,21.83
6/8/2020,18.345,75.294,54.42,19.535,2.8375,0.752,25.438
6/9/2020,38.6175,98.632,61.935,20.1275,2.91,0.804,31.146
6/10/2020,37.825,101.514,68.31,23.98,3.1225,0.702,41.08
6/11/2020,31.895,75.146,53.92666667,26.29666667,3.145,0.572,30.626
6/12/2020,18.4225,58.88,78.99666667,22.28333333,3.215,0.452,25.788
6/13/2020,15.05,47.174,51.27,10.21333333,2.77,0.454,21.85
6/14/2020,14.645,45.878,18.57,6.816666667,2.8425,0.45,20.48
6/15/2020,15.92,39.888,23.4025,28.0375,2.7575,1.043333333,18.52
6/16/2020,17.8625,42.038,26.04,37.52333333,2.7575,0.87,22.368
6/17/2020,23.34,48.064,32.354,37.29,2.66,0.868333333,16.064
6/18/2020,26.368,47.308,42.61,33.055,5.08,0.97,13.77
6/19/2020,16.9925,40.502,33.68,19.19,4.6225,0.666,15.49
6/20/2020,19.805,52.83,22.025,15.8125,4.2225,0.614,23.196
6/21/2020,12.68,39.352,16.7625,15.0875,3.7675,0.448,16.666
6/22/2020,16.38666667,38.162,22.05,31.06,3.8,0.921666667,22.605
6/23/2020,19.98,52.566,23.902,26.832,3.6925,0.875,24.84333333
6/24/2020,23.91333333,57.932,20.536,25.35,4.202,0.755,29.27333333
6/25/2020,25.53333333,65.612,16.784,26.51,3.046,0.953333333,14.902
6/26/2020,17.74833333,38.996,11.106,25.648,2.8725,0.791666667,20.885
6/27/2020,17.392,67.298,9.3,22.89,3.69,0.878333333,22.65666667
6/28/2020,19.044,57.634,31.412,17.802,4.005,0.703333333,15.68833333
6/29/2020,17.504,44.158,42.068,20.7,3.555,0.898333333,16.49
6/30/2020,29.842,65.048,43.972,27.728,3.9,0.831666667,24.275
7/1/2020,41.622,103.344,39.914,30.87,3.535,0.981666667,26.69833333
7/2/2020,41.132,107.79,22.108,22.05,4.3425,0.821666667,20.155
7/3/2020,29.946,96.958,16.446,13.944,4,0.658333333,24.97666667
7/4/2020,26.32,70.334,15.042,20.534,4.76,0.733333333,18.24333333
7/5/2020,18.7,36.106,7.926,15.98,3.295,0.556666667,21.575
7/6/2020,16.0075,33.15,7.306,15.274,3.015,0.553333333,19.705
7/7/2020,17.835,31.512,6.2,13.72,3.9325,0.588333333,19.31
7/8/2020,28.7325,51.018,11.792,18.956,3.7625,0.795,19.67833333
7/9/2020,17.975,30.116,10.812,21.242,2.925,0.626666667,22.46
7/10/2020,15.265,30.456,5.16,14.5,3.1225,0.503333333,21.74333333
7/11/2020,21.445,35.24,3.998,14.024,2.59,0.498333333,23.40333333
7/12/2020,22.505,40.7,4.128,12.524,2.833333333,0.425,28.24
7/13/2020,18.49333333,47.0975,8.0575,11.3125,4.343333333,0.46,31.616
7/14/2020,26.2275,56.36,6.71,14.672,4.5575,0.583333333,28.04
7/15/2020,27.89,57.64,21.486,12.68,3.6275,0.528333333,28.045
7/16/2020,25.9625,53.848,22.486,17.336,2.995,0.556666667,28.64166667
7/17/2020,24.865,55.79,18.848,13.246,2.96,0.511666667,29.19333333
7/18/2020,31.3275,66.952,18.414,12.398,3.0975,0.575,29.29
7/19/2020,28.1,54.192,10.254,8.972,2.7875,0.523333333,22.42833333
7/20/2020,15.195,34.524,12.938,11.418,3.076,0.556666667,19.65666667
7/21/2020,27.325,39.884,20.565,13.5325,2.8275,0.51,14.258
7/22/2020,17.78,40.1875,22.8725,14.525,2.58,0.425,21.175
7/23/2020,18.64,32.5075,28.58333333,13.70666667,3.053333333,0.375,29.34
7/24/2020,19.19,32.86,19.495,12.95,2.67,0.44,27.825
7/25/2020,37.05,34.66,20.7825,12.265,3.246666667,0.535,28.8225
7/26/2020,38.975,82.85,13.548,10.102,2.795,0.504,21.812
7/27/2020,36.285,69.836,15.184,11.79,7.46,0.52,17.35
7/28/2020,19.72333333,35.81,10.31333333,11.27166667,14.915,0.625,21.87166667
7/29/2020,22.41666667,33.76,13.96,10.31333333,9.66,0.543333333,24.53166667
7/30/2020,28.195,41.84,19.74166667,10.945,4.1275,0.608333333,20.3
7/31/2020,31.3175,43.788,16.94,11.515,3.506,0.58,20.59666667
8/1/2020,33.03,45.158,14.605,16.26166667,3.44,0.726666667,23.24333333
8/2/2020,33.71,53.2025,10.822,30.566,5.083333333,0.678,26.302
8/3/2020,30.63,52.862,23.00166667,24.855,5.425,0.705,19.10666667
8/4/2020,29.1025,51.78,8.655,21.93333333,3.36,0.565,24.19833333
8/5/2020,14.37,27.252,8.503333333,16.535,5.3825,0.54,25.71666667
8/6/2020,17.29,24.418,16.316,24.464,3.6625,0.448333333,26.71333333
8/7/2020,19.8,28.11,16.06333333,19.14166667,3.085,0.556666667,23.57666667
8/8/2020,28.814,45.928,13.90666667,15.40833333,3.685,0.618333333,19.90833333
8/9/2020,36.635,52.15,4.95,14.336,2.28,0.762,28.816
8/10/2020,34.382,66.2675,12.97333333,16.55666667,3.6525,0.533333333,24.76833333
8/11/2020,35.212,68.21,7.865,18.21,3.502,0.496666667,22.285
8/12/2020,17.636,31.3,11.78166667,16.68333333,4.754,0.5,21.45833333
8/13/2020,22.7375,34.54,13.922,15.976,3.936666667,0.498,18.576
8/14/2020,22.925,39.17666667,19.206,14.646,4.863333333,0.476,13.976
8/15/2020,25.885,41.94,21.4125,13.5675,2.83,0.452,20.32
8/16/2020,14.8275,26.41666667,22.7925,11.0075,5.386666667,0.414,18.772
8/17/2020,21.6225,35.64333333,19.4,14.356,6.396666667,0.516,24.404
8/18/2020,29.005,49.19666667,15.992,13.704,3.22,0.642,23.896
8/19/2020,24.26,50.38333333,15.824,13.396,3.106666667,0.628,29.01
8/20/2020,14,243.58,11.92666667,10.47166667,7.17,0.52,30.41333333
8/21/2020,14.875,31.96,25.105,17.89333333,6.0975,0.525,26.99666667
8/22/2020,23.63,39.04,15.8,13.33,13.2,0.555,33.08666667
8/23/2020,27.18,32.0525,30.632,17.676,4.675,0.71,27.29166667
8/24/2020,24.4725,41.97,25.47333333,18.775,4.58,0.653333333,23.43
8/25/2020,21.225,49.355,15.765,15.895,4.292,0.655,19.91333333
8/26/2020,22.08,53.49,16.97333333,16.95833333,4.25,0.608333333,20.94166667
8/27/2020,14.9825,31.172,23.28,11.175,7.866,0.555,28.99833333
8/28/2020,18.025,36.56,21.95333333,12.12166667,11.65,0.595,27.15833333
8/29/2020,22.5925,46.656,16.09333333,15.03666667,7.32,0.628333333,26.14166667
8/30/2020,23.02,54.52,27.97,19.7525,9.41,0.518333333,24.822
8/31/2020,28.08666667,57.696,25.67666667,24.32666667,11.4775,0.625,22.645
9/1/2020,22.464,54.538,27.27666667,22.315,7.875,0.538333333,20.74
9/2/2020,18.448,71.658,18.07833333,17.75,8.128333333,0.483333333,33.26666667
9/3/2020,33.676,69.482,20.27666667,17.705,8.771666667,0.528333333,32.01
9/4/2020,36.13,70.916,17.5,17.805,8.351666667,0.631666667,28.97333333
9/5/2020,54.62166667,80.708,18.215,18.28666667,7.94,0.688333333,23.89166667
9/6/2020,34.28666667,66.424,21.626,16.2,8.408333333,0.61,20.72333333
9/7/2020,23.015,52.708,18.906,18.064,9.736666667,0.686666667,17.47333333
9/8/2020,27.65,50.954,12.55666667,18.335,7.083333333,0.74,18.23833333
9/9/2020,30.875,53.29,12.36166667,16.52166667,5.896666667,0.693333333,18.52666667
9/10/2020,29.22333333,48.9075,23.69166667,21.54666667,8.086666667,0.7,23.27
9/11/2020,24.23,45.62,23.83333333,18.97333333,7.975,0.64,21.17666667
9/12/2020,38.90333333,64.8175,19.15333333,17.25666667,8.001666667,0.69,22.00833333
9/13/2020,42.48333333,68.7575,21.53333333,17.17333333,8.101666667,0.67,10.78833333
9/14/2020,36.47166667,70.1225,21,19.69833333,7.156666667,0.856666667,14.15
9/15/2020,70.70166667,50.6175,22.00333333,39.18,6.936666667,0.665,15.405
9/16/2020,42.36166667,49.4575,15.66833333,18.965,6.57,0.701666667,20.05166667
9/17/2020,27.1,54.9825,19.115,20.22166667,5.808333333,0.696666667,21.43166667
9/18/2020,46.66166667,53.505,15.685,18.61166667,6.846666667,0.885,23.91833333
9/19/2020,52.665,49.515,12.675,17.15833333,7.455,0.861666667,23.92666667
9/20/2020,32.55333333,56.3125,26.34833333,21.105,6.245,0.86,17.57166667
9/21/2020,25.57,45.0475,16.94,15.325,6.256666667,0.843333333,15.77166667
9/22/2020,12.18333333,18.1625,13.43,11.59166667,6.46,0.51,16.1
9/23/2020,15.06666667,24.075,13.21166667,11.66166667,7.086666667,0.648333333,20.82166667
9/24/2020,20.83166667,25.9375,16.45166667,13.47,6.305,0.626666667,18.14833333
9/25/2020,19.85166667,28.9825,31.385,20.38,6.121666667,0.706666667,14.49333333
9/26/2020,22.25333333,33.115,37.84833333,22.92,6.366666667,0.67,16.89333333
9/27/2020,28.725,49.3425,19.24833333,18.80166667,6.65,0.755,22.65833333
9/28/2020,45.40166667,74.0675,16.98833333,19.45166667,6.305,0.925,19.24833333
9/29/2020,67.155,110.0625,20.64666667,22.435,6.305,1.063333333,18.55166667
9/30/2020,67.10666667,133.5025,19.17666667,25.64833333,6.495,0.878333333,23.35666667
10/1/2020,76.40833333,120.3,8.016666667,20.55,6.525,0.848333333,23.15333333
10/2/2020,60.615,84.545,11.19833333,22.36666667,6.58,0.99,22.35666667
10/3/2020,45.93333333,61.0975,11.45666667,18.90166667,6.245,0.751666667,11.96833333
10/4/2020,33.155,43.0975,20.72333333,23.545,6.523333333,0.791666667,10.49
10/5/2020,44.19,57.6225,23.78166667,19.98666667,7.066666667,0.876666667,9.983333333
10/6/2020,43.64333333,71.5,26.08166667,22.20166667,7.37,0.816666667,15.15666667
10/7/2020,52.42833333,81.5375,30.29166667,22.895,6.771666667,0.891666667,16.89166667
10/8/2020,67.14166667,93.89,22.125,21.01833333,7.428,0.893333333,14.90833333
10/9/2020,64.83833333,97.4625,32.095,34.03333333,7.346666667,1.118333333,17.21
10/10/2020,59.53666667,105.7925,25.90666667,31.66333333,7.575,1.023333333,23.19166667
10/11/2020,63.92833333,125.2025,28.26166667,31.46,8.145,1.068333333,21.83666667
10/12/2020,64.94833333,122.8575,30.60833333,31.41166667,8.528333333,1.22,20.17833333
10/13/2020,59.36333333,112.16,26.032,29.416,7.49,0.966666667,26.63166667
10/14/2020,65.61833333,160.83,21.542,34.854,7.461666667,0.948333333,21.45333333
10/15/2020,91.59,165.032,33.556,37.656,8.625,0.948333333,25.28
10/16/2020,88.51166667,169.282,32.83,40.22,7.755,1.101666667,22.56333333
10/17/2020,76.90666667,148.888,37.422,37.65,6.671666667,1.235,22.35333333
10/18/2020,83.62666667,144.86,33.2,37.28,7.155,0.858333333,28.04666667
10/19/2020,104.4066667,181.764,41.978,45.336,8.018333333,1.168333333,27.28166667
10/20/2020,94.68,167.116,34.918,43.134,7.765,1.328333333,26.50833333
10/21/2020,99.14,173.326,41.842,43.35,7.951666667,1.381666667,26.33666667
10/22/2020,78.925,132.584,33.88,36.494,6.526666667,1.188333333,22.095
10/23/2020,57.14,89.73,30.9,33.746,6.761666667,0.901666667,20.41333333
10/24/2020,56.70333333,132.128,25.942,36.608,7.528333333,0.98,22.70333333
10/25/2020,87.47,143.58,33.472,41.444,7.53,1.226666667,28.14833333
10/26/2020,90.48666667,143.942,30.026,43.504,7.71,1.26,29.18
10/27/2020,96.61833333,191.214,40.274,47.77,7.555,1.393333333,27.995
10/28/2020,91.20166667,172.216,37.458,46.706,8.276666667,1.325,31.26333333
10/29/2020,78.39833333,142.814,35.458,48.172,7.585,1.258333333,33.40833333
10/30/2020,83.99166667,141.56,31.642,48.768,8.15,1.156666667,36.18166667
10/31/2020,59.715,130.41,26.81,39.464,8.113333333,1.171666667,34.78333333
11/1/2020,79.36666667,148.08,29.1,40.822,9.055,1.29,38.96666667
11/2/2020,102.32,172.438,32.448,45.694,9.018333333,1.445,52.87
11/3/2020,91.38666667,165.35,34.046,44.116,9.225,1.215,59.77
11/4/2020,81.90833333,169.37,47.056,55.048,9.7,1.256666667,42.40333333
11/5/2020,93.595,177.402,67.166,63.906,8.733333333,1.676666667,35.40333333
11/6/2020,104.4116667,189.866,69.43,52.21833333,9.21,1.795,28.68666667
11/7/2020,130.2833333,194.52,63.6,55.44,8.208333333,2.121666667,33.49333333
11/8/2020,140.0883333,216.022,54.99833333,49.92,8.825,2.233333333,37.82333333
11/9/2020,90.46,148.982,65.30833333,56.17333333,9.386666667,1.788333333,30.81666667
11/10/2020,76.78333333,128.958,81.16,62.54666667,10.68166667,1.836666667,31.635
11/11/2020,62.77166667,119.104,79.39,51.27333333,9.128333333,1.701666667,32.285
11/12/2020,64.50666667,125.196,76.51166667,59.85833333,8.8,1.805,28.08833333
11/13/2020,94.14166667,157.064,56.74333333,58.755,10.04166667,1.81,31.26
11/14/2020,135.2533333,184.14,49.115,58.40166667,12.04,1.656666667,33.20666667
11/15/2020,149.7683333,220.38,52.20666667,56.41,12,1.665,36.02333333
11/16/2020,119.01,203.38,51.105,54.495,9.87,1.448333333,27.37666667
11/17/2020,49.27666667,111.154,34.66166667,50.09333333,8.846666667,1.09,30.76
11/18/2020,72.295,133.676,31.16,53.56333333,9.34,1.258333333,31.06666667
11/19/2020,106.1566667,163.824,43.95166667,54.1,9.465,1.733333333,28.75
11/20/2020,94.59333333,142.738,34.725,50.54833333,9.911666667,1.588333333,36.14166667
11/21/2020,75.90333333,123.81,23.52166667,47.28166667,9.871666667,1.048333333,48.17166667
11/22/2020,83.71,152.876,34.88333333,59.91666667,9.371666667,1.38,39.13666667
11/23/2020,115.0666667,205.744,58.945,69.09166667,10.31166667,1.91,37.62333333
11/24/2020,158.465,259.004,96.14166667,78.18666667,9.981666667,2.263333333,33.58333333
11/25/2020,181.015,278.326,109.3733333,77.17,10.37166667,2.798333333,35.49166667
11/26/2020,173.0433333,263.416,90.63833333,72.72,11.76666667,2.451666667,31.78166667
11/27/2020,169.305,267.188,50.47333333,68.59,9.531666667,2.126666667,20.66
11/28/2020,171.604,266.6225,40.368,70.626,9.082,2.074,32.326
11/29/2020,122.63,204.08,38.795,59.81333333,9.946666667,1.631666667,30.50333333
11/30/2020,138.7583333,218.892,47.42333333,69.79166667,10.52833333,1.868333333,31.37666667
12/1/2020,148.88,247.204,52.29,76.2,10.64166667,2.178333333,30.95333333
12/2/2020,164.52,288.576,62.61333333,74.28,10.40166667,2.388333333,30.19833333
12/3/2020,232.375,376.636,74.425,75.97,11.53,3.155,27.26166667
12/4/2020,260.0483333,396.054,84.34666667,67.18166667,9.008333333,3.453333333,24.80166667
12/5/2020,227.7583333,377.36,77.435,65.60166667,8.696666667,3.645,22.39166667
12/6/2020,198.15,335.86,83.13,63.65666667,8.571666667,3.358333333,24.70166667
12/7/2020,188.985,303.272,42.44666667,64.6,9.023333333,2.716666667,27.975
12/8/2020,121.0983333,240.924,40.08166667,43.62333333,8.035,2.116666667,20.36666667
12/9/2020,86.15166667,181.374,43.635,44.61666667,8.183333333,1.861666667,20.96666667
12/10/2020,137.025,238.054,48.12666667,50.68833333,9.02,2.365,28.62
12/11/2020,132.39,225.736,54.80166667,51.04,8.65,2.505,18.23
12/12/2020,148.0266667,264.93,51.84166667,50.67333333,8.94,2.441666667,24.84166667
12/13/2020,110.1416667,221.944,44.98666667,43.40166667,11.57833333,2.098333333,25.67833333
12/14/2020,80.75166667,190.482,41.77333333,51.28,8.85,1.715,24.67
12/15/2020,112.31,215.036,36.615,58.908,9.228333333,1.756666667,27.30166667
12/16/2020,178.9633333,276.958,38.01166667,54.406,11.21833333,1.776666667,20.03833333
12/17/2020,102.3233333,180.666,32.47833333,46.32166667,8.726666667,1.235,28.03333333
12/18/2020,109.6483333,200.376,33.025,56.80166667,8.09,1.353333333,27.81333333
12/19/2020,150.92,267.036,45.38666667,66.85166667,9.015,1.903333333,25.43833333
12/20/2020,187.515,344.73,49.5,67.535,8.451666667,2.035,24.75
12/21/2020,226.09,322.552,59.64,55.21333333,9.651666667,2.543333333,17.60666667
12/22/2020,183.494,280.236,84.51666667,59.76,10.765,2.853333333,21.30833333
12/23/2020,180.216,305.202,102.3433333,61.74333333,12.29166667,2.878333333,23.35666667
12/24/2020,181.1716667,306.734,103.375,62.90333333,9.111666667,2.823333333,23.68833333
12/25/2020,175.8983333,281.72,55.19,62.61833333,9.145,2.231666667,23.63166667
12/26/2020,158.3733333,294.23,43.60333333,61.525,9.575,2.08,29.62
12/27/2020,316.5466667,312.31,51.155,73.296,9.328333333,2.44,27.82166667
12/28/2020,182.2816667,329.37,89.11333333,73.06166667,9.721666667,3.056666667,29.09833333
12/29/2020,205.715,297.738,88.07166667,71.70166667,8.565,3.22,22.43
12/30/2020,164.33,307.604,58.95,61.81833333,9.686666667,2.436666667,22.72166667
12/31/2020,133.2883333,262.722,36.82333333,59.515,9.291666667,1.773333333,25.38333333
1/1/2021,147.1933333,265.048,37.21166667,55.96333333,8.92,1.99,25.675
1/2/2021,164.3783333,271.566,48.122,67.094,9.103333333,2.265,24.99833333
1/3/2021,211.2716667,329.688,72.865,73.05666667,10.96166667,2.533333333,19.86333333
1/4/2021,186.495,339.804,73.31666667,67.50166667,11.34833333,2.616666667,19.56833333
1/5/2021,166.3933333,314.178,57.25166667,63.86,10.06,2.351666667,20.12333333
1/6/2021,166.4683333,289.822,48.82166667,63.57166667,10.48166667,2.191666667,18.50333333
1/7/2021,173.675,202.892,47.00833333,58.92,9.381666667,1.796666667,20.12666667
1/8/2021,101.145,192.64,59.49833333,57.64166667,9.768333333,1.716666667,20.54833333
1/9/2021,118.1733333,217.266,48.705,53.87333333,9.693333333,1.49,20.44333333
1/10/2021,96.464,190.746,33.00166667,44.48666667,9.781666667,1.691666667,22.32833333
1/11/2021,72.168,164.95,32.995,47.19666667,9.015,1.568333333,25.325
1/12/2021,102.332,176.54,35.16833333,48.23166667,7.916666667,1.59,19.67333333
1/13/2021,175.9616667,220.12,32.36333333,52.07666667,8.283333333,1.731666667,25.195
1/14/2021,149.2283333,257.948,40.03833333,49.675,8.233333333,2.15,18.445
1/15/2021,146.055,209.882,25.945,47.21666667,7.576666667,1.743333333,20.58
1/16/2021,108.5833333,186.044,27.44,47.605,12.70333333,1.656666667,18.795
1/17/2021,110.3683333,202.666,38.15166667,49.55666667,10.42333333,1.831666667,18.55166667
1/18/2021,117.4166667,247.388,32.11166667,47.15,7.616666667,2.23,10.41333333
1/19/2021,119.4316667,221.316,40.3,52.19,8.523333333,2.475,13.32666667
1/20/2021,157.0383333,266.592,51.42833333,46.85,10.005,3.501666667,21.26666667
1/21/2021,121.63,205.306,37.23,38.08166667,7.773333333,3.061666667,19.23333333
1/22/2021,125.4816667,231.994,41.54333333,38.26166667,8.058333333,2.986666667,16.76333333
1/23/2021,101.2333333,191.354,30.97666667,36.41333333,7.428333333,2.32,17.89666667
1/24/2021,93.86333333,192.022,30.48166667,39.06833333,8.221666667,2.245,24.245
1/25/2021,75.74333333,169.644,35.645,37.53,7.23,1.933333333,28.30833333
1/26/2021,89.79833333,205.374,29.22,35.985,6.583333333,1.716666667,22.73666667
1/27/2021,90.76333333,206.44,28.61333333,36.47166667,6.501666667,1.735,18.19666667
1/28/2021,96.82833333,182.472,30.315,39.295,6.225,1.636666667,26.00333333
1/29/2021,98.7,173.852,29.64833333,39.06833333,6.141666667,1.685,20.34833333
1/30/2021,115.9283333,223.392,29.81666667,47.43666667,5.76,1.528333333,20.81333333
1/31/2021,150.155,262.886,42.275,52.285,8.418333333,1.978333333,23.47666667
2/1/2021,141.7716667,260.406,40.21333333,47.36333333,9.33,2.203333333,25.86166667
2/2/2021,164.0533333,312.794,52.24833333,49.66,8.766666667,2.293333333,26.66833333
2/3/2021,151.79,320.86,69.475,46.92,7.605,2.703333333,21.93333333
2/4/2021,135.1633333,319.736,92.42833333,55.44833333,9.108333333,2.893333333,26.95333333
2/5/2021,122.125,262.062,72.00333333,54.01,10.835,1.821666667,28.94833333
2/6/2021,70.61833333,136.742,41.31,41.21833333,8.151666667,1.323333333,27.14166667
2/7/2021,85.32833333,188.558,32.75,40.90833333,7.635,1.283333333,25.61833333
2/8/2021,86.605,205.772,30.57833333,45.86,6.171666667,1.255,29.51
2/9/2021,101.1,217.316,39.195,66.08666667,9.268333333,1.418333333,30.85166667
2/10/2021,146.8383333,262.886,62.39833333,66.125,8.046666667,2.058333333,27.005
2/11/2021,152.9066667,275.866,85.28,69.07333333,8.378333333,2.195,25.95333333
2/12/2021,162.535,279.99,87.51166667,71.06,10.06,2.333333333,21.73166667
2/13/2021,175.9816667,265.618,68.03666667,74.89666667,8.803333333,2.261666667,20.87666667
2/14/2021,157.3233333,280.812,63.875,72.64333333,8.295,2.008333333,23.97333333
2/15/2021,99.08,219.61,45.07166667,75.21833333,8.205,1.768333333,24.51166667
2/16/2021,108.92,223.956,50.13166667,78.375,8.22,1.813333333,25.06
2/17/2021,96.98,224.244,62.88333333,77.10833333,12.68833333,1.77,23.45333333
2/18/2021,128.78,265.414,59.935,77.80166667,10.075,1.961666667,23.56666667
2/19/2021,119.44,230.628,71.685,72.98833333,8.165,1.89,20.99833333
2/20/2021,89.71166667,201.202,71.39666667,74.95166667,7.54,1.695,23
2/21/2021,99.486,209.068,42.72333333,73.14166667,10.63166667,1.511666667,27.42
2/22/2021,96.86,188.414,40.485,75.485,8.315,1.598333333,25.75
2/23/2021,96.02,208.182,39.09666667,73.385,10.44333333,1.565,26.02666667
2/24/2021,101.024,254.136,36.79333333,73.41833333,9.913333333,1.62,25.285
2/25/2021,94.526,234.704,31.41,69.23,9.871666667,1.318333333,27.195
2/26/2021,73.56,172.56,28.11666667,64.115,8.998333333,1.123333333,29.78166667
2/27/2021,57.498,149.506,28.15,61.39333333,8.968333333,0.936666667,31.68166667
2/28/2021,60.774,175.984,30.32833333,55.96666667,8.818333333,1.013333333,24.92833333
3/1/2021,63.336,183.974,39.445,53.21833333,8.643333333,1.095,27.43666667
3/2/2021,72.91333333,193.72,35.822,58.792,8.471666667,1.045,31.005
3/3/2021,81.3,211.192,33.31666667,69.57666667,10.18333333,1.103333333,29.13
3/4/2021,85.954,202.274,33.284,66.476,8.268,1.1,23.07
3/5/2021,77.66,223.452,47.88,67.85,7.272,1.282,19.792
3/6/2021,89.554,214.224,36.682,66.976,7.548,1.142,22.27
3/7/2021,83.26,201.446,32.386,61.656,7.43,1.014,26.588
3/8/2021,72.574,197.218,25.256,55.988,9.038,0.96,27.498
3/9/2021,89.558,246.556,50.294,66.376,8.524,1.5,22.114
3/10/2021,149.81,306.05,59.762,68.218,7.932,1.704,16.656
3/11/2021,138.69,265.066,38.518,61.808,7.034,1.526,17.232
3/12/2021,240.0475,267.39,35.266,48.536,7.098,1.314,20.888
3/13/2021,86.85,238.392,29.644,40.764,6.892,0.984,17.844
3/14/2021,100.8025,208.252,29.604,45.902,7.014,0.974,22.208
3/15/2021,125.205,207.21,32.248,53.608,8.034,1.092,25.422
3/16/2021,124.68,288.784,26.26,54.866,8.916,1.158,22.392
3/17/2021,183.6433333,370.282,32.468,54.78,9.444,1.158,20.14
3/18/2021,125.97,336.282,36.74,55.402,8.664,1.242,21.836
3/19/2021,105.412,309.434,25.338,58.912,8.078,1.234,21.664
3/20/2021,108.03,278.088,13.676,44.112,8.902,1.202,22.802
3/21/2021,100.308,260.512,12.102,44.534,8.836,1.16,23.746
3/22/2021,91.626,248.82,23.608,45.452,8.466,1.236,23.882
3/23/2021,113.172,301.126,26.358,52.396,9.398,1.388,23.528
3/24/2021,87.844,262.162,9.706,35.87,9.352,0.906,31.346
3/25/2021,93.482,273.592,7.6,33.316,10.298,0.73,37.814
3/26/2021,77.332,228.346,11.022,39.212,9.828,0.792,35.176
3/27/2021,81.71166667,220.128,26.34166667,52.775,12.12,1.336666667,28.002
3/28/2021,91.93666667,210.394,14.44333333,52.535,16.92666667,1.188333333,42.374
3/29/2021,100.1683333,202.074,9.276666667,46.73333333,14.53666667,1.401666667,47.238
3/30/2021,86.76166667,201.962,8.768333333,42.75,12.41166667,1.143333333,41.044
3/31/2021,86.86833333,203.892,13.11833333,44.05833333,11.32,1.308333333,30.43
4/1/2021,84.30833333,190.194,14.63,48.95666667,10.51,1.168333333,28.04
4/2/2021,83.885,205.606,15.84833333,43.1,10.62,1.048333333,30.586
4/3/2021,93.50666667,197.188,19.86,51.60833333,14.002,1.045,42.382
4/4/2021,93.02166667,192.304,14.90666667,51.30166667,9.84,0.876,33.69
4/5/2021,96.548,199.406,16.92666667,53.00166667,11.45333333,0.908,42.23
4/6/2021,80.94166667,172.766,10.02166667,44.60166667,12.59333333,1.105,51.834
4/7/2021,83.015,182.77,10.23166667,40.5,11.09833333,1.21,47.406
4/8/2021,101.5233333,203.65,20.31,44.435,9.396666667,1.476666667,50.474
4/9/2021,94.41333333,212.822,17.925,49.28833333,9.248333333,1.548333333,30.83
4/10/2021,130.285,244.032,25.905,56.31333333,8.506666667,1.65,40.51
4/11/2021,104.06,233.456,24.10166667,56.26666667,8.913333333,1.266666667,44.57
4/12/2021,107.095,254.49,28.87666667,59.98333333,9.878333333,1.52,39.808
4/13/2021,110.1666667,241.256,23.36666667,54.33,9.87,1.413333333,40.504
4/14/2021,119.9466667,238.1,22.09666667,52.35833333,10.79,1.33,41.318
